Id,Img Id,Da,Dp,FWidth,FLength,FThickness,ELength,EThickness,EWidth,Volume,Area,Perimeter,CHull  Area,CHull Perimeter,Sphericity,L/T Ratio,T/L Aspect Ratio,Compactness,Roundness,Ellipse Ratio,Circularity,Solidity,Concavity,Convexity,Extent,hash,Transparency,Curvature,Surface Area,L/W Ratio,W/L Ratio,W/T Ratio,T/W Ratio,CHull Surface Area,Sieve,Angularity,Ellipticity,Fiber Length,Fiber Width,Krumbein Rnd,label
61,8485.0,1.329,1.848,0.716,2.651,0.716,2.714,0.68,0.68,0.711,1.388,5.807,1.439,5.786,0.719,3.704,0.27,0.501,0.251,0.25,0.517,0.964,0.036,0.997,0.731,0.0,0.211,0.0,5.551,3.704,0.27,1.0,1.0,5.755,0.716,28.182,3.992,2.285,0.607,0.57,2
172,15507.0,1.326,1.565,1.471,2.149,0.429,2.319,0.445,1.459,0.71,1.381,4.917,1.415,4.884,0.847,5.012,0.2,0.617,0.381,0.192,0.718,0.976,0.024,0.993,1.498,0.0,0.208,0.0,5.523,1.461,0.684,3.43,0.292,5.659,0.95,33.0,5.209,1.918,0.413,0.712,2
657,16250.0,1.317,1.741,1.57,2.278,0.512,2.015,0.425,1.443,0.958,1.363,5.471,1.499,5.341,0.756,4.451,0.225,0.578,0.334,0.211,0.572,0.909,0.091,0.976,1.169,0.0,0.412,0.226,5.45,1.45,0.689,3.069,0.326,5.998,1.041,62.857,4.737,2.262,0.813,0.621,2
622,16241.0,1.301,1.753,1.56,2.344,0.58,2.013,0.485,1.445,1.11,1.329,5.508,1.449,5.385,0.742,4.044,0.247,0.555,0.308,0.241,0.551,0.917,0.083,0.978,0.978,0.0,0.386,0.125,5.317,1.503,0.665,2.691,0.372,5.796,1.07,39.333,4.148,2.268,0.875,0.49,2
1329,16377.0,1.29,1.451,1.09,1.602,1.09,1.478,1.182,1.182,0.996,1.307,4.558,1.382,4.436,0.889,1.47,0.68,0.805,0.649,0.8,0.791,0.946,0.054,0.973,0.749,0.0,0.37,0.0,5.228,1.47,0.68,1.0,1.0,5.527,1.09,43.75,1.251,0.0,0.0,0.58,2
169,15502.0,1.261,1.443,1.325,1.853,0.53,1.97,0.553,1.305,0.682,1.249,4.535,1.274,4.501,0.874,3.496,0.286,0.681,0.463,0.281,0.763,0.98,0.02,0.993,1.272,0.0,0.196,0.0,4.997,1.398,0.715,2.5,0.4,5.097,0.928,23.846,3.564,1.577,0.533,0.611,2
87,9818.0,1.259,1.479,1.243,1.372,1.243,1.313,1.218,1.218,1.109,1.245,4.647,1.331,4.15,0.851,1.105,0.905,0.918,0.842,0.928,0.725,0.936,0.064,0.893,0.73,0.0,0.599,0.0,4.981,1.105,0.905,1.0,1.0,5.325,1.243,50.833,1.078,1.484,0.839,0.375,2
4273,16916.0,1.24,1.363,1.145,1.786,1.054,1.545,1.05,1.141,1.129,1.208,4.282,1.257,4.16,0.91,1.694,0.59,0.695,0.483,0.679,0.828,0.961,0.039,0.972,0.642,0.0,0.267,0.0,4.834,1.559,0.641,1.086,0.92,5.028,1.1,39.333,1.472,1.36,0.997,0.628,2
3835,16798.0,1.23,1.497,0.94,2.097,0.885,1.938,0.889,0.914,0.913,1.188,4.703,1.248,4.655,0.822,2.369,0.422,0.586,0.344,0.459,0.675,0.952,0.048,0.99,0.64,0.0,0.411,0.842,4.751,2.232,0.448,1.061,0.942,4.991,0.912,38.182,2.181,1.707,0.759,0.557,2
630,16248.0,1.2,1.465,1.16,1.744,0.786,1.718,0.781,1.079,0.832,1.131,4.602,1.227,4.434,0.819,2.219,0.451,0.688,0.474,0.455,0.671,0.922,0.078,0.963,0.826,0.0,0.297,0.0,4.525,1.503,0.665,1.477,0.677,4.908,0.973,47.857,2.199,1.622,0.779,0.721,2
1348,16378.0,1.191,1.515,1.36,2.337,0.493,2.299,0.446,1.281,0.821,1.114,4.759,1.208,4.681,0.786,4.737,0.211,0.51,0.26,0.194,0.618,0.922,0.078,0.984,0.966,0.0,0.321,0.0,4.455,1.719,0.582,2.756,0.363,4.833,0.926,47.778,5.159,2.073,0.3,0.739,2
4926,17265.0,1.191,1.428,1.235,1.835,0.575,1.855,0.561,1.162,0.683,1.114,4.487,1.168,4.438,0.834,3.189,0.314,0.649,0.421,0.303,0.695,0.953,0.047,0.989,1.055,0.0,0.169,0.0,4.454,1.485,0.673,2.147,0.466,4.672,0.905,35.833,3.303,1.572,0.504,0.539,2
89,9820.0,1.149,1.357,1.025,1.343,1.025,1.342,0.988,0.988,0.739,1.036,4.265,1.097,3.81,0.846,1.31,0.763,0.855,0.731,0.736,0.716,0.944,0.056,0.893,0.753,0.0,0.497,0.0,4.145,1.31,0.763,1.0,1.0,4.389,1.025,55.217,1.358,1.383,0.749,0.534,2
157,13502.0,1.126,1.573,1.02,1.38,1.02,1.298,0.996,0.996,0.751,0.995,4.941,1.137,3.934,0.716,1.353,0.739,0.816,0.666,0.767,0.512,0.875,0.125,0.796,0.708,0.0,0.643,0.0,3.981,1.353,0.739,1.0,1.0,4.548,1.02,77.143,1.303,1.964,0.507,0.294,2
552,16227.0,1.118,1.261,0.983,1.699,0.928,1.572,0.866,0.905,0.811,0.982,3.961,1.01,3.926,0.887,1.831,0.546,0.658,0.433,0.551,0.786,0.972,0.028,0.991,0.623,0.0,0.282,0.0,3.928,1.729,0.578,1.059,0.944,4.04,0.955,51.667,1.815,1.134,0.918,0.64,2
4922,17258.0,1.106,1.237,0.995,1.516,0.963,1.493,0.957,0.979,0.76,0.96,3.885,1.018,3.822,0.894,1.574,0.635,0.73,0.532,0.641,0.8,0.944,0.056,0.984,0.658,0.0,0.167,0.038,3.841,1.523,0.657,1.033,0.968,4.071,0.979,38.889,1.56,0.0,0.0,0.579,2
3857,16789.0,1.083,1.423,1.179,1.847,0.263,1.783,0.244,1.139,0.299,0.921,4.472,1.006,4.236,0.761,7.037,0.142,0.586,0.344,0.137,0.579,0.916,0.084,0.947,1.899,0.0,0.513,0.308,3.685,1.568,0.638,4.489,0.223,4.025,0.721,63.913,7.296,2.532,0.498,0.659,2
4298,16909.0,1.077,1.22,1.188,1.513,0.675,1.496,0.709,1.135,0.635,0.911,3.833,0.969,3.77,0.883,2.243,0.446,0.712,0.507,0.474,0.779,0.94,0.06,0.984,0.892,0.0,0.274,0.321,3.644,1.273,0.785,1.761,0.568,3.878,0.932,44.615,2.11,1.285,0.939,0.674,2
